;ESTACION;MAGNITUD;ANO;MES;DIA;VALOR;FECHA
0;4;1;2018-;1;-01;1,0;2018-01-01
576;24;8;2018-;1;-01;6,0;2018-01-01
588;24;9;2018-;1;-01;5,0;2018-01-01
594;24;10;2018-;1;-01;11,0;2018-01-01
606;24;12;2018-;1;-01;8,0;2018-01-01
618;24;14;2018-;1;-01;64,0;2018-01-01
630;24;20;2018-;1;-01;0,2;2018-01-01
642;24;30;2018-;1;-01;0,3;2018-01-01
654;24;35;2018-;1;-01;0,1;2018-01-01
666;24;42;2018-;1;-01;1,15;2018-01-01
678;24;43;2018-;1;-01;1,12;2018-01-01
690;24;44;2018-;1;-01;0,03;2018-01-01
702;27;7;2018-;1;-01;4,0;2018-01-01
714;27;8;2018-;1;-01;27,0;2018-01-01
726;27;12;2018-;1;-01;33,0;2018-01-01
738;27;14;2018-;1;-01;47,0;2018-01-01
750;35;1;2018-;1;-01;6,0;2018-01-01
762;35;6;2018-;1;-01;0,4;2018-01-01
930;38;9;2018-;1;-01;3,0;2018-01-01
918;38;8;2018-;1;-01;20,0;2018-01-01
906;38;7;2018-;1;-01;5,0;2018-01-01
894;38;1;2018-;1;-01;4,0;2018-01-01
882;36;12;2018-;1;-01;36,0;2018-01-01
870;36;10;2018-;1;-01;16,0;2018-01-01
564;24;7;2018-;1;-01;1,0;2018-01-01
858;36;8;2018-;1;-01;29,0;2018-01-01
834;36;6;2018-;1;-01;0,2;2018-01-01
822;36;1;2018-;1;-01;8,0;2018-01-01
810;35;14;2018-;1;-01;29,0;2018-01-01
798;35;12;2018-;1;-01;31,0;2018-01-01
786;35;8;2018-;1;-01;26,0;2018-01-01
774;35;7;2018-;1;-01;3,0;2018-01-01
846;36;7;2018-;1;-01;5,0;2018-01-01
942;38;10;2018-;1;-01;6,0;2018-01-01
552;24;6;2018-;1;-01;0,2;2018-01-01
528;18;35;2018-;1;-01;0,1;2018-01-01
168;8;30;2018-;1;-01;0,5;2018-01-01
180;8;35;2018-;1;-01;0,1;2018-01-01
192;8;42;2018-;1;-01;1,41;2018-01-01
204;8;43;2018-;1;-01;1,39;2018-01-01
216;8;44;2018-;1;-01;0,03;2018-01-01
228;11;7;2018-;1;-01;3,0;2018-01-01
240;11;8;2018-;1;-01;24,0;2018-01-01
252;11;12;2018-;1;-01;29,0;2018-01-01
264;11;20;2018-;1;-01;0,2;2018-01-01
276;11;30;2018-;1;-01;0,2;2018-01-01
288;11;35;2018-;1;-01;0,1;2018-01-01
300;16;6;2018-;1;-01;0,3;2018-01-01
312;16;7;2018-;1;-01;3,0;2018-01-01
324;16;8;2018-;1;-01;31,0;2018-01-01
336;16;12;2018-;1;-01;36,0;2018-01-01
348;16;14;2018-;1;-01;46,0;2018-01-01
360;17;1;2018-;1;-01;3,0;2018-01-01
1074;40;7;2018-;1;-01;4,0;2018-01-01
516;18;30;2018-;1;-01;0,5;2018-01-01
504;18;20;2018-;1;-01;0,5;2018-01-01
492;18;14;2018-;1;-01;51,0;2018-01-01
480;18;12;2018-;1;-01;33,0;2018-01-01
468;18;10;2018-;1;-01;23,0;2018-01-01
540;24;1;2018-;1;-01;3,0;2018-01-01
456;18;8;2018-;1;-01;24,0;2018-01-01
432;18;6;2018-;1;-01;0,3;2018-01-01
420;18;1;2018-;1;-01;6,0;2018-01-01
408;17;14;2018-;1;-01;47,0;2018-01-01
396;17;12;2018-;1;-01;26,0;2018-01-01
384;17;8;2018-;1;-01;22,0;2018-01-01
372;17;7;2018-;1;-01;3,0;2018-01-01
444;18;7;2018-;1;-01;6,0;2018-01-01
156;8;20;2018-;1;-01;0,7;2018-01-01
954;38;12;2018-;1;-01;27,0;2018-01-01
978;38;30;2018-;1;-01;0,3;2018-01-01
1410;55;8;2018-;1;-01;28,0;2018-01-01
1398;55;7;2018-;1;-01;3,0;2018-01-01
1386;54;14;2018-;1;-01;53,0;2018-01-01
1026;39;8;2018-;1;-01;25,0;2018-01-01
1374;54;12;2018-;1;-01;17,0;2018-01-01
1362;54;8;2018-;1;-01;15,0;2018-01-01
1350;54;7;2018-;1;-01;2,0;2018-01-01
1338;50;12;2018-;1;-01;39,0;2018-01-01
1326;50;10;2018-;1;-01;5,0;2018-01-01
1314;50;9;2018-;1;-01;4,0;2018-01-01
1302;50;8;2018-;1;-01;23,0;2018-01-01
1290;50;7;2018-;1;-01;10,0;2018-01-01
1278;49;14;2018-;1;-01;48,0;2018-01-01
1266;49;12;2018-;1;-01;23,0;2018-01-01
1254;49;8;2018-;1;-01;21,0;2018-01-01
1038;39;12;2018-;1;-01;33,0;2018-01-01
1242;49;7;2018-;1;-01;1,0;2018-01-01
1086;40;8;2018-;1;-01;26,0;2018-01-01
1098;40;10;2018-;1;-01;17,0;2018-01-01
1110;40;12;2018-;1;-01;32,0;2018-01-01
1050;39;14;2018-;1;-01;51,0;2018-01-01
1122;47;7;2018-;1;-01;2,0;2018-01-01
1134;47;8;2018-;1;-01;24,0;2018-01-01
1422;55;10;2018-;1;-01;13,0;2018-01-01
1146;47;9;2018-;1;-01;6,0;2018-01-01
1170;47;12;2018-;1;-01;28,0;2018-01-01
1182;48;7;2018-;1;-01;3,0;2018-01-01
1194;48;8;2018-;1;-01;30,0;2018-01-01
1206;48;9;2018-;1;-01;3,0;2018-01-01
1218;48;10;2018-;1;-01;7,0;2018-01-01
1230;48;12;2018-;1;-01;36,0;2018-01-01
1158;47;10;2018-;1;-01;16,0;2018-01-01
966;38;20;2018-;1;-01;0,4;2018-01-01
1434;55;12;2018-;1;-01;33,0;2018-01-01
1458;55;30;2018-;1;-01;0,5;2018-01-01
1794;60;14;2018-;1;-01;61,0;2018-01-01
1782;60;12;2018-;1;-01;19,0;2018-01-01
990;38;35;2018-;1;-01;0,2;2018-01-01
1770;60;10;2018-;1;-01;16,0;2018-01-01
1758;60;8;2018-;1;-01;16,0;2018-01-01
1746;60;7;2018-;1;-01;2,0;2018-01-01
1734;59;14;2018-;1;-01;56,0;2018-01-01
1722;59;12;2018-;1;-01;22,0;2018-01-01
1710;59;8;2018-;1;-01;18,0;2018-01-01
1698;59;7;2018-;1;-01;2,0;2018-01-01
1686;58;14;2018-;1;-01;68,0;2018-01-01
1674;58;12;2018-;1;-01;7,0;2018-01-01
1662;58;8;2018-;1;-01;5,0;2018-01-01
1650;58;7;2018-;1;-01;1,0;2018-01-01
1002;39;6;2018-;1;-01;0,3;2018-01-01
1638;57;12;2018-;1;-01;20,0;2018-01-01
1626;57;10;2018-;1;-01;13,0;2018-01-01
1470;55;35;2018-;1;-01;0,1;2018-01-01
1482;55;42;2018-;1;-01;1,22;2018-01-01
1494;55;43;2018-;1;-01;1,17;2018-01-01
1506;55;44;2018-;1;-01;0,05;2018-01-01
1014;39;7;2018-;1;-01;5,0;2018-01-01
1518;56;6;2018-;1;-01;0,2;2018-01-01
1446;55;20;2018-;1;-01;0,9;2018-01-01
1530;56;7;2018-;1;-01;15,0;2018-01-01
1554;56;12;2018-;1;-01;54,0;2018-01-01
1566;56;14;2018-;1;-01;49,0;2018-01-01
1578;57;1;2018-;1;-01;3,0;2018-01-01
1590;57;6;2018-;1;-01;0,3;2018-01-01
1602;57;7;2018-;1;-01;2,0;2018-01-01
1614;57;8;2018-;1;-01;17,0;2018-01-01
1542;56;8;2018-;1;-01;30,0;2018-01-01
144;8;14;2018-;1;-01;38,0;2018-01-01
1062;40;1;2018-;1;-01;2,0;2018-01-01
96;8;8;2018-;1;-01;47,0;2018-01-01
12;4;6;2018-;1;-01;0,3;2018-01-01
24;4;7;2018-;1;-01;2,0;2018-01-01
36;4;8;2018-;1;-01;21,0;2018-01-01
48;4;12;2018-;1;-01;24,0;2018-01-01
60;8;1;2018-;1;-01;3,0;2018-01-01
84;8;7;2018-;1;-01;13,0;2018-01-01
120;8;10;2018-;1;-01;9,0;2018-01-01
132;8;12;2018-;1;-01;66,0;2018-01-01
108;8;9;2018-;1;-01;5,0;2018-01-01
72;8;6;2018-;1;-01;0,3;2018-01-01
3616;48;9;2018-;1;-02;5,0;2018-01-02
3724;50;9;2018-;1;-02;5,0;2018-01-02
3592;48;7;2018-;1;-02;14,0;2018-01-02
3580;47;12;2018-;1;-02;39,0;2018-01-02
3628;48;10;2018-;1;-02;9,0;2018-01-02
3604;48;8;2018-;1;-02;40,0;2018-01-02
3640;48;12;2018-;1;-02;60,0;2018-01-02
3700;50;7;2018-;1;-02;27,0;2018-01-02
3664;49;8;2018-;1;-02;28,0;2018-01-02
3676;49;12;2018-;1;-02;34,0;2018-01-02
3688;49;14;2018-;1;-02;41,0;2018-01-02
3568;47;10;2018-;1;-02;10,0;2018-01-02
3712;50;8;2018-;1;-02;38,0;2018-01-02
3736;50;10;2018-;1;-02;6,0;2018-01-02
3748;50;12;2018-;1;-02;80,0;2018-01-02
3652;49;7;2018-;1;-02;4,0;2018-01-02
3556;47;9;2018-;1;-02;5,0;2018-01-02
3472;40;1;2018-;1;-02;3,0;2018-01-02
3532;47;7;2018-;1;-02;4,0;2018-01-02
3352;38;10;2018-;1;-02;7,0;2018-01-02
3364;38;12;2018-;1;-02;42,0;2018-01-02
3376;38;20;2018-;1;-02;0,8;2018-01-02
3388;38;30;2018-;1;-02;0,4;2018-01-02
3400;38;35;2018-;1;-02;0,3;2018-01-02
3412;39;6;2018-;1;-02;0,3;2018-01-02
3544;47;8;2018-;1;-02;32,0;2018-01-02
3424;39;7;2018-;1;-02;16,0;2018-01-02
3448;39;12;2018-;1;-02;59,0;2018-01-02
3460;39;14;2018-;1;-02;43,0;2018-01-02
3760;54;7;2018-;1;-02;6,0;2018-01-02
3496;40;8;2018-;1;-02;39,0;2018-01-02
3508;40;10;2018-;1;-02;18,0;2018-01-02
3520;40;12;2018-;1;-02;58,0;2018-01-02
3436;39;8;2018-;1;-02;36,0;2018-01-02
3772;54;8;2018-;1;-02;31,0;2018-01-02
3832;55;10;2018-;1;-02;16,0;2018-01-02
3796;54;14;2018-;1;-02;38,0;2018-01-02
4036;57;10;2018-;1;-02;13,0;2018-01-02
4048;57;12;2018-;1;-02;38,0;2018-01-02
4060;58;7;2018-;1;-02;3,0;2018-01-02
4072;58;8;2018-;1;-02;12,0;2018-01-02
4084;58;12;2018-;1;-02;17,0;2018-01-02
4096;58;14;2018-;1;-02;58,0;2018-01-02
4108;59;7;2018-;1;-02;5,0;2018-01-02
4120;59;8;2018-;1;-02;28,0;2018-01-02
4132;59;12;2018-;1;-02;35,0;2018-01-02
4144;59;14;2018-;1;-02;47,0;2018-01-02
4156;60;7;2018-;1;-02;6,0;2018-01-02
4168;60;8;2018-;1;-02;27,0;2018-01-02
4180;60;10;2018-;1;-02;14,0;2018-01-02
4192;60;12;2018-;1;-02;35,0;2018-01-02
4204;60;14;2018-;1;-02;54,0;2018-01-02
4024;57;8;2018-;1;-02;28,0;2018-01-02
3784;54;12;2018-;1;-02;40,0;2018-01-02
4012;57;7;2018-;1;-02;7,0;2018-01-02
3988;57;1;2018-;1;-02;1,0;2018-01-02
3808;55;7;2018-;1;-02;16,0;2018-01-02
3820;55;8;2018-;1;-02;41,0;2018-01-02
3340;38;9;2018-;1;-02;4,0;2018-01-02
3844;55;12;2018-;1;-02;66,0;2018-01-02
3856;55;20;2018-;1;-02;2,2;2018-01-02
3868;55;30;2018-;1;-02;0,7;2018-01-02
3880;55;35;2018-;1;-02;0,1;2018-01-02
