ESTACION;MAGNITUD;ANO;MES;DIA;VALOR;FECHA
4;6;2018-;1;-01;0,3;2018-01-01
4;6;2018-;1;-02;0,3;2018-01-02
4;6;2018-;1;-03;0,4;2018-01-03
4;6;2018-;1;-04;0,3;2018-01-04
4;6;2018-;1;-05;0,3;2018-01-05
4;6;2018-;1;-06;0,3;2018-01-06
4;6;2018-;1;-07;0,4;2018-01-07
4;6;2018-;1;-08;0,5;2018-01-08
4;6;2018-;1;-09;0,6;2018-01-09
4;6;2018-;1;-10;0,4;2018-01-10
4;6;2018-;1;-11;0,4;2018-01-11
4;6;2018-;1;-12;0,6;2018-01-12
4;6;2018-;1;-13;0,5;2018-01-13
4;6;2018-;1;-14;0,4;2018-01-14
4;6;2018-;1;-15;0,5;2018-01-15
4;6;2018-;1;-16;0,5;2018-01-16
4;6;2018-;1;-17;0,6;2018-01-17
4;6;2018-;1;-18;0,8;2018-01-18
4;6;2018-;1;-19;0,8;2018-01-19
4;6;2018-;1;-20;0,6;2018-01-20
4;6;2018-;1;-21;0,5;2018-01-21
4;6;2018-;1;-22;0,7;2018-01-22
4;6;2018-;1;-23;0,8;2018-01-23
4;6;2018-;1;-24;0,8;2018-01-24
4;6;2018-;1;-25;0,6;2018-01-25
4;6;2018-;1;-26;0,4;2018-01-26
4;6;2018-;1;-27;0,3;2018-01-27
4;6;2018-;1;-28;0,3;2018-01-28
4;6;2018-;1;-29;0,7;2018-01-29
4;6;2018-;1;-30;0,7;2018-01-30
4;6;2018-;1;-31;0,7;2018-01-31
4;6;2018-;2;-01;0,7;2018-02-01
4;6;2018-;2;-02;0,4;2018-02-02
4;6;2018-;2;-03;0,4;2018-02-03
4;6;2018-;2;-04;0,4;2018-02-04
4;6;2018-;2;-05;0,4;2018-02-05
4;6;2018-;2;-06;0,4;2018-02-06
4;6;2018-;2;-07;0,5;2018-02-07
4;6;2018-;2;-08;0,5;2018-02-08
4;6;2018-;2;-09;0,6;2018-02-09
4;6;2018-;2;-10;0,4;2018-02-10
4;6;2018-;2;-11;0,5;2018-02-11
4;6;2018-;2;-12;0,4;2018-02-12
4;6;2018-;2;-13;0,5;2018-02-13
4;6;2018-;2;-14;0,3;2018-02-14
4;6;2018-;2;-15;0,4;2018-02-15
4;6;2018-;2;-16;0,5;2018-02-16
4;6;2018-;2;-17;0,5;2018-02-17
4;6;2018-;2;-18;0,4;2018-02-18
4;6;2018-;2;-19;0,4;2018-02-19
4;6;2018-;2;-20;0,5;2018-02-20
4;6;2018-;2;-21;0,4;2018-02-21
4;6;2018-;2;-22;0,5;2018-02-22
4;6;2018-;2;-23;0,5;2018-02-23
4;6;2018-;2;-24;0,6;2018-02-24
4;6;2018-;2;-25;0,6;2018-02-25
4;6;2018-;2;-26;0,7;2018-02-26
4;6;2018-;2;-27;0,5;2018-02-27
4;6;2018-;2;-28;0,5;2018-02-28
4;6;2018-;3;-01;0,3;2018-03-01
4;6;2018-;3;-02;0,5;2018-03-02
4;6;2018-;3;-03;0,3;2018-03-03
4;6;2018-;3;-04;0,3;2018-03-04
4;6;2018-;3;-05;0,3;2018-03-05
4;6;2018-;3;-06;0,4;2018-03-06
4;6;2018-;3;-07;0,4;2018-03-07
4;6;2018-;3;-08;0,4;2018-03-08
4;6;2018-;3;-09;0,4;2018-03-09
4;6;2018-;3;-10;0,4;2018-03-10
4;6;2018-;3;-11;0,3;2018-03-11
4;6;2018-;3;-12;0,3;2018-03-12
4;6;2018-;3;-13;0,4;2018-03-13
4;6;2018-;3;-14;0,4;2018-03-14
4;6;2018-;3;-15;0,3;2018-03-15
4;6;2018-;3;-16;0,3;2018-03-16
4;6;2018-;3;-17;0,3;2018-03-17
4;6;2018-;3;-18;0,3;2018-03-18
4;6;2018-;3;-19;0,3;2018-03-19
4;6;2018-;3;-20;0,4;2018-03-20
4;6;2018-;3;-21;0,4;2018-03-21
4;6;2018-;3;-22;0,4;2018-03-22
4;6;2018-;3;-23;0,5;2018-03-23
4;6;2018-;3;-24;0,3;2018-03-24
4;6;2018-;3;-25;0,3;2018-03-25
4;6;2018-;3;-26;0,4;2018-03-26
4;6;2018-;3;-27;0,4;2018-03-27
4;6;2018-;3;-28;0,4;2018-03-28
4;6;2018-;3;-29;0,3;2018-03-29
4;6;2018-;3;-30;0,3;2018-03-30
4;6;2018-;3;-31;0,3;2018-03-31
4;6;2018-;4;-01;0,4;2018-04-01
4;6;2018-;4;-02;0,4;2018-04-02
4;6;2018-;4;-03;0,3;2018-04-03
4;6;2018-;4;-04;0,3;2018-04-04
4;6;2018-;4;-05;0,5;2018-04-05
4;6;2018-;4;-06;0,6;2018-04-06
4;6;2018-;4;-07;0,3;2018-04-07
4;6;2018-;4;-08;0,3;2018-04-08
4;6;2018-;4;-09;0,3;2018-04-09
4;6;2018-;4;-10;0,3;2018-04-10
4;6;2018-;4;-11;0,3;2018-04-11
4;6;2018-;4;-12;0,4;2018-04-12
4;6;2018-;4;-13;0,3;2018-04-13
4;6;2018-;4;-14;0,4;2018-04-14
4;6;2018-;4;-15;0,3;2018-04-15
4;6;2018-;4;-16;0,3;2018-04-16
4;6;2018-;4;-17;0,4;2018-04-17
4;6;2018-;4;-18;0,5;2018-04-18
4;6;2018-;4;-19;0,4;2018-04-19
4;6;2018-;4;-20;0,4;2018-04-20
4;6;2018-;4;-21;0,4;2018-04-21
4;6;2018-;4;-22;0,4;2018-04-22
4;6;2018-;4;-23;0,4;2018-04-23
4;6;2018-;4;-24;0,4;2018-04-24
